,date,open,high,low,close
1128,2016-07-20,18896.8,19016.25,18886.3,18968.2
1129,2016-07-21,18967.4,19000.3,18644.55,18674.3
1130,2016-07-22,18697.8,18735.4,18551.3,18690.4
1131,2016-07-25,18594.95,19035.35,18572.1,18989.6
1132,2016-07-26,18979.1,19044.45,18814.25,18860.85
1133,2016-07-27,18908.45,19125.0,18882.4,19021.95
1134,2016-07-28,19050.4,19126.75,18998.8,19076.55
1135,2016-07-29,19047.05,19070.15,18912.6,18953.15
1136,2016-08-01,18896.5,19078.5,18634.4,18740.6
1137,2016-08-02,18783.6,18866.55,18671.85,18708.25
1138,2016-08-03,18680.95,18775.4,18542.6,18602.0
1139,2016-08-04,18724.9,18724.9,18443.65,18571.7
1140,2016-08-05,18725.2,18943.15,18708.25,18925.95
1141,2016-08-08,18986.75,19028.7,18896.0,18939.45
1142,2016-08-09,18968.65,19008.15,18838.6,18933.3
1143,2016-08-10,18966.85,18985.25,18611.25,18647.8
1144,2016-08-11,18621.0,18699.2,18537.1,18640.4
1145,2016-08-12,18698.3,18986.8,18695.5,18963.7
1146,2016-08-16,19029.1,19062.2,18839.4,19002.15
1147,2016-08-17,19044.55,19138.35,18966.35,19041.25
1148,2016-08-18,19087.2,19367.45,19083.0,19352.8
1149,2016-08-19,19419.0,19457.4,19327.2,19414.7
1150,2016-08-22,19432.6,19493.2,19252.75,19330.25
1151,2016-08-23,19311.9,19372.65,19246.9,19341.65
1152,2016-08-24,19358.7,19392.2,19284.35,19355.6
1153,2016-08-25,19383.7,19432.75,19282.8,19304.25
1154,2016-08-26,19336.45,19358.0,19133.9,19195.75
1155,2016-08-29,19174.45,19247.85,19096.7,19217.0
1156,2016-08-30,19306.5,19546.35,19306.5,19531.55
1157,2016-08-31,19595.9,19823.4,19595.9,19787.6
1158,2016-09-01,19805.8,19928.2,19738.3,19788.85
1159,2016-09-02,19830.35,19911.25,19787.6,19883.2
1160,2016-09-06,19990.95,20459.45,19990.95,20426.2
1161,2016-09-07,20505.8,20575.8,20376.75,20406.9
1162,2016-09-08,20439.2,20477.4,20335.2,20417.25
1163,2016-09-09,20274.75,20349.7,20139.15,20245.3
1164,2016-09-12,19861.45,19861.45,19735.55,19790.6
1165,2016-09-14,19757.05,19953.15,19732.15,19909.15
1166,2016-09-15,19927.6,19955.4,19730.25,19837.55
1167,2016-09-16,19935.85,20227.2,19783.6,19855.45
1168,2016-09-19,19892.2,20014.4,19849.65,19906.85
1169,2016-09-20,19957.35,19964.3,19797.5,19852.3
1170,2016-09-21,19902.7,19937.85,19749.95,19828.45
1171,2016-09-22,20153.1,20264.8,19996.9,20109.6
1172,2016-09-23,20136.75,20137.55,19861.45,19901.8
1173,2016-09-26,19792.2,19794.15,19568.35,19591.75
1174,2016-09-27,19652.95,19696.45,19479.15,19518.7
1175,2016-09-28,19542.0,19700.0,19509.65,19653.55
1176,2016-09-29,19762.3,19793.2,19059.05,19183.65
1177,2016-09-30,19116.0,19330.85,19085.2,19285.7
1178,2016-10-03,19395.55,19611.25,19363.95,19589.05
1179,2016-10-04,19641.75,19747.45,19527.35,19672.7
1180,2016-10-05,19801.3,19816.5,19492.8,19536.85
1181,2016-10-06,19518.55,19570.7,19325.8,19395.05
1182,2016-10-07,19398.05,19456.0,19318.0,19400.1
1183,2016-10-10,19489.5,19501.45,19351.35,19378.55
1184,2016-10-13,19295.55,19295.55,18824.4,18954.25
1185,2016-10-14,19016.7,19053.5,18926.15,19020.15
1186,2016-10-17,19136.3,19241.75,19002.45,19070.4
1187,2016-10-18,19174.7,19511.8,19162.85,19495.05
1188,2016-10-19,19570.05,19576.3,19322.75,19412.1
1189,2016-10-20,19493.9,19722.85,19479.25,19658.7
1190,2016-10-21,19636.4,19744.0,19516.4,19710.9
1191,2016-10-24,19763.85,19897.85,19751.65,19807.9
1192,2016-10-25,19907.7,19922.7,19711.95,19834.9
1193,2016-10-26,19581.7,19725.9,19434.5,19483.6
1194,2016-10-27,19452.0,19544.2,19252.1,19514.6
1195,2016-10-28,19507.85,19589.7,19362.0,19555.95
1196,2016-10-30,19657.8,19666.8,19484.65,19523.55
1197,2016-11-01,19578.6,19591.65,19417.3,19458.6
1198,2016-11-02,19223.5,19296.55,19158.75,19227.9
1199,2016-11-03,19201.95,19319.65,19119.3,19178.7
1200,2016-11-04,19223.85,19223.9,18961.15,19058.1
1201,2016-11-07,19317.85,19378.0,19233.0,19356.0
1202,2016-11-08,19490.75,19549.45,19322.15,19500.8
1203,2016-11-09,18270.9,19587.8,18143.7,19518.25
1204,2016-11-10,19827.5,20283.15,19787.45,20200.25
1205,2016-11-11,20033.85,20309.65,19704.35,19738.8
1206,2016-11-15,19808.35,19861.75,19240.45,19289.75
1207,2016-11-16,19591.25,19611.9,19088.4,19108.1
