id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,StPrice1,StPrice2,StPriceCombine
5935,CDS,cde_fo,EURINR,8226,OPTCUR,PE,83.25,EURINR21APRIL2383.25PE,EURINR2342183.25PE,EURINR 21APR23 83.25 PE,21-04-2023,1,0.0025,83,25,83.25
5936,CDS,cde_fo,EURINR,8227,OPTCUR,CE,83.5,EURINR21APRIL2383.5CE,EURINR2342183.5CE,EURINR 21APR23 83.5 CE,21-04-2023,1,0.0025,83,5,83.5
5937,CDS,cde_fo,GBPUSD,8228,OPTCUR,PE,1.31,GBPUSD28MARCH241.31PE,GBPUSD24MAR1.31PE,GBPUSD 28MAR24 1.31 PE,28-03-2024,1,0.0001,1,31,1.31
5938,CDS,cde_fo,GBPUSD,8229,OPTCUR,CE,1.315,GBPUSD28MARCH241.315CE,GBPUSD24MAR1.315CE,GBPUSD 28MAR24 1.315 CE,28-03-2024,1,0.0001,1,315,1.315
5939,CDS,cde_fo,JPYINR,8230,OPTCUR,CE,63.75,JPYINR27DECEMBER2363.75CE,JPYINR23DEC63.75CE,JPYINR 27DEC23 63.75 CE,27-12-2023,1,0.0025,63,75,63.75
5940,CDS,cde_fo,JPYINR,8231,OPTCUR,PE,63.75,JPYINR27DECEMBER2363.75PE,JPYINR23DEC63.75PE,JPYINR 27DEC23 63.75 PE,27-12-2023,1,0.0025,63,75,63.75
5941,CDS,cde_fo,EURUSD,8232,OPTCUR,PE,0.93,EURUSD27DECEMBER230.93PE,EURUSD23DEC0.93PE,EURUSD 27DEC23 0.93 PE,27-12-2023,1,0.0001,,93,.93
5942,CDS,cde_fo,GBPINR,8233,OPTCUR,CE,98.25,GBPINR26MAY2398.25CE,GBPINR2352698.25CE,GBPINR 26MAY23 98.25 CE,26-05-2023,1,0.0025,98,25,98.25
5943,CDS,cde_fo,JPYINR,8234,OPTCUR,PE,63.5,JPYINR26APRIL2363.5PE,JPYINR23APR63.5PE,JPYINR 26APR23 63.5 PE,26-04-2023,1,0.0025,63,5,63.5
5944,CDS,cde_fo,JPYINR,8235,OPTCUR,CE,63.75,JPYINR26APRIL2363.75CE,JPYINR23APR63.75CE,JPYINR 26APR23 63.75 CE,26-04-2023,1,0.0025,63,75,63.75
5945,CDS,cde_fo,GBPUSD,8236,OPTCUR,PE,1.315,GBPUSD28MARCH241.315PE,GBPUSD24MAR1.315PE,GBPUSD 28MAR24 1.315 PE,28-03-2024,1,0.0001,1,315,1.315
5946,CDS,cde_fo,GBPUSD,8237,OPTCUR,CE,1.32,GBPUSD28MARCH241.32CE,GBPUSD24MAR1.32CE,GBPUSD 28MAR24 1.32 CE,28-03-2024,1,0.0001,1,32,1.32
5947,CDS,cde_fo,JPYINR,8238,OPTCUR,PE,58,JPYINR28APRIL2358PE,JPYINR2342858PE,JPYINR 28APR23 58 PE,28-04-2023,1,0.0025,58,,58
5948,CDS,cde_fo,JPYINR,8239,OPTCUR,CE,58.25,JPYINR28APRIL2358.25CE,JPYINR2342858.25CE,JPYINR 28APR23 58.25 CE,28-04-2023,1,0.0025,58,25,58.25
5949,CDS,cde_fo,JPYINR,8240,OPTCUR,PE,58.25,JPYINR28APRIL2358.25PE,JPYINR2342858.25PE,JPYINR 28APR23 58.25 PE,28-04-2023,1,0.0025,58,25,58.25
5950,CDS,cde_fo,GBPINR,8241,OPTCUR,CE,106.25,GBPINR26MAY23106.25CE,GBPINR23526106.25CE,GBPINR 26MAY23 106.25 CE,26-05-2023,1,0.0025,106,25,106.25
5951,CDS,cde_fo,GBPINR,8242,OPTCUR,PE,106.25,GBPINR26MAY23106.25PE,GBPINR23526106.25PE,GBPINR 26MAY23 106.25 PE,26-05-2023,1,0.0025,106,25,106.25
